  Field Name,"Code
Value",  Code Description,  Additional Information
ABSENTEE INDICATOR,A,ABSENTEE BECAUSE THE MAILING AND SITUS ADDRESSES DON?T MATCH,
ABSENTEE INDICATOR,M,SITUS ADDRESS TAKEN FROM MAIL (ASSUMED OWNER OCCUPIED),
ABSENTEE INDICATOR,O,OWNER OCCUPIED,
ABSENTEE INDICATOR,S,SITUS ADDRESS TAKEN FROM SALES TRANSACTION - DETERMINED OWNER OCCUPIED,
ABSENTEE INDICATOR,T,SITUS ADDRESS TAKEN FROM SALES TRANSACTION - DETERMINED ABSENTEE OWNER,
ADD / CHANGE INDICATOR,A,NEW RECORD,
ADD / CHANGE INDICATOR,C,CHANGED RECORD,
ADD / CHANGE INDICATOR,D,DELETE RECORD,
CASH MORTGAGE TYPE,C,CASH,
CASH MORTGAGE TYPE,M,MORTGAGE,
CASH MORTGAGE TYPE,Q,CASH,
CASH MORTGAGE TYPE,R,MORTGAGE,
CONSTRUCTION LOAN INDICATOR,Y,YES,
CONSTRUCTION LOAN INDICATOR,L,YES,
CORPORATE INDICATOR,Blank,Undetermined,
CORPORATE INDICATOR,C,Corporation,
CORPORATE INDICATOR,N,Not Corporation,
CORPORATE INDICATOR,T,Trust,
CORPORATE INDICATOR,Y,Yes - Corporation,
DOCUMENT TYPE,D,RELEASE OF DEED OF TRUST/MTG  ,
DOCUMENT TYPE,G,GRANT DEED,
DOCUMENT TYPE,J,MECHANIC LIENS                ,
DOCUMENT TYPE,L,LIS PENDENS                   ,
DOCUMENT TYPE,N,NOTICE OF DEFAULT,
DOCUMENT TYPE,Q,QUIT CLAIM,
DOCUMENT TYPE,R,RELEASE/RECISION              ,
DOCUMENT TYPE,S,LOAN ASSIGNMENT ,
DOCUMENT TYPE,T,DEED OF TRUST,
DOCUMENT TYPE,U,FORECLOSURE,
DOCUMENT TYPE,X ,MULTI CNTY/ST OR OPEN-END MORTGAGE,
EQUITY FLAG,C,CREDIT LINE,
EQUITY FLAG,E,EQUITY,
EQUITY FLAG,R,REVOLVING CREDIT,
EQUITY FLAG,S,SECOND,
EQUITY FLAG,Y,YES,
FORECLOSURE,O,"REO - NOMINAL, TRANSFER BETWEEN BANK AND FNMA, FHA, ETC..",
FORECLOSURE,P,REO SALE - SALE FROM GOVERNMENT TO PRIVATE PARTY,
FORECLOSURE,Y,"REO - NOMINAL, TRANSFER BETWEEN BANK AND FNMA, FHA, ETC..",
INTER FAMILY,Y,YES,
INTEREST RATE TYPE,ADJ,Adjustable,
INTEREST RATE TYPE,BAL,Balloon,
INTEREST RATE TYPE,FIX,Fixed,
LAND USE,100,RESIDENTIAL (NEC),
LAND USE,102,TOWNHOUSE/ROWHOUSE,
LAND USE,103,APARTMENT/HOTEL,
LAND USE,106,APARTMENT,
LAND USE,109,CABIN,
LAND USE,111,COOPERATIVE,
LAND USE,112,CONDOMINIUM,
LAND USE,113,CONDOMINIUM PROJECT,
LAND USE,114,COMMON AREA,
LAND USE,115,DUPLEX,
LAND USE,116,MID RISE CONDO,
LAND USE,117,HIGH RISE CONDO,
LAND USE,118,FRAT/SORORITY HOUSE,
LAND USE,119,RESIDENCE HALL/DORMITORIES,
LAND USE,127,HOTEL,
LAND USE,130,RESORT HOTEL,
LAND USE,131,MULTI FAMILY 10 UNITS PLUS,
LAND USE,132,MULTI FAMILY 10 UNITS LESS,
LAND USE,133,MULTI FAMILY DWELLING,
LAND USE,134,MIXED COMPLEX,
LAND USE,135,MOBILE HOME LOT,
LAND USE,136,MOBILE HOME PARK,
LAND USE,137,MOBILE HOME,
LAND USE,138,MANUFACTURED HOME,
LAND USE,142,MOTEL,
LAND USE,148,PUD,
LAND USE,151,QUADRUPLEX,
LAND USE,155,GROUP QUARTERS,
LAND USE,156,ORPHANAGE,
LAND USE,157,NURSING HOME,
LAND USE,160,RURAL HOMESITE,
LAND USE,163,SFR,
LAND USE,164,TRANSIENT LODGING,
LAND USE,165,TRIPLEX,
LAND USE,167,TIME SHARE,
LAND USE,199,TIME SHARE CONDO,
LAND USE,200,COMMERCIAL (NEC),
LAND USE,201,AIR RIGHTS,
LAND USE,202,MULTIPLE USES,
LAND USE,203,AUTO EQUIPMENT,
LAND USE,204,AUTO REPAIR,
LAND USE,205,AUTO SALES,
LAND USE,206,CONDOTEL,
LAND USE,207,SALVAGE IMPRV,
LAND USE,208,AUTO WRECKING,
LAND USE,209,BUSINESS PARK,
LAND USE,210,CARWASH,
LAND USE,211,COMMERCIAL BUILDING,
LAND USE,212,CEMETERY,
LAND USE,213,COMMERCIAL CONDOMINIUM,
LAND USE,214,CONVALESCENT HOSPITAL,
LAND USE,215,CONVENTION CENTER,
LAND USE,217,DEPARTMENT STORE,
LAND USE,218,FACILITIES,
